ID,adj.P.Val,pvalue,t,B,log2FoldChange,Gene_Symbol,Gene.title
205676_at,3.52e-08,4.75e-09,6.36704,9.891431,0.6024789,CYP27B1,cytochrome P450 family 27 subfamily B member 1
203658_at,3.57e-08,4.81e-09,-6.364318,9.8787648,-0.2874261,SLC25A20,solute carrier family 25 member 20
201252_at,3.57e-08,4.82e-09,6.364254,9.8784681,0.4450293,PSMC4,"proteasome 26S subunit, ATPase 4"
214719_at,3.57e-08,4.83e-09,-6.363786,9.8762878,-0.4839128,SLC46A3,solute carrier family 46 member 3
218128_at,3.59e-08,4.84e-09,-6.363044,9.8728361,-0.5086906,NFYB,nuclear transcription factor Y subunit beta
218672_at,3.59e-08,4.85e-09,6.362749,9.8714622,0.268655,TNFAIP8L2-SCNM1,TNFAIP8L2-SCNM1 readthrough///sodium channel modifier 1
210825_s_at,3.67e-08,4.96e-09,-6.357863,9.8487292,-0.507828,PEBP1,phosphatidylethanolamine binding protein 1
201672_s_at,3.7e-08,5e-09,6.356299,9.8414541,0.4388919,USP14,ubiquitin specific peptidase 14
215489_x_at,3.7e-08,5.01e-09,6.355903,9.8396135,0.5301794,HOMER3,homer scaffolding protein 3
217362_x_at,3.72e-08,5.04e-09,-6.3547,9.8340214,-0.4729572,HLA-DRB6,"major histocompatibility complex, class II, DR beta 6 (pseudogene)"
205909_at,3.73e-08,5.05e-09,6.354338,9.8323349,0.5327155,POLE2,"DNA polymerase epsilon 2, accessory subunit"
206240_s_at,3.73e-08,5.05e-09,-6.354249,9.8319235,-0.2873054,ZNF136,zinc finger protein 136
205264_at,3.75e-08,5.09e-09,6.352774,9.8250616,0.317523,CD3EAP,CD3e molecule associated protein
200841_s_at,3.77e-08,5.11e-09,6.351703,9.8200812,0.4837401,EPRS,glutamyl-prolyl-tRNA synthetase
213106_at,3.78e-08,5.12e-09,-6.351212,9.8177989,-0.8687174,ATP8A1,ATPase phospholipid transporting 8A1
202955_s_at,3.79e-08,5.13e-09,6.350734,9.8155781,0.4301019,ARFGEF1,ADP ribosylation factor guanine nucleotide exchange factor 1
202154_x_at,3.79e-08,5.14e-09,6.350645,9.8151665,0.5778698,TUBB3,tubulin beta 3 class III
215812_s_at,3.8e-08,5.16e-09,6.349817,9.8113162,0.6164146,SLC6A10PB,"solute carrier family 6 member 8 pseudogene///solute carrier family 6 member 10, pseudogene///solute carrier family 6 member 8"
218644_at,3.87e-08,5.26e-09,6.345726,9.7922995,0.4379409,PLEK2,pleckstrin 2
200931_s_at,3.88e-08,5.27e-09,-6.345313,9.7903811,-0.4841302,VCL,vinculin
214170_x_at,3.92e-08,5.32e-09,6.343284,9.7809524,0.4410199,FH,fumarate hydratase
204357_s_at,3.92e-08,5.32e-09,6.343237,9.7807327,0.4711204,LIMK1,LIM domain kinase 1
212880_at,3.92e-08,5.32e-09,-6.343157,9.7803586,-0.2959272,WDR7,WD repeat domain 7
213160_at,3.96e-08,5.38e-09,-6.340775,9.7692937,-0.5826452,DOCK2,dedicator of cytokinesis 2
210580_x_at,3.97e-08,5.4e-09,-6.340217,9.7667005,-0.5322077,SLX1B-SULT1A4,SLX1B-SULT1A4 readthrough (NMD candidate)///SLX1A-SULT1A3 readthrough (NMD candidate)///sulfotransferase family 1A member 4///sulfotransferase family 1A member 3
218019_s_at,3.98e-08,5.41e-09,-6.339725,9.764417,-0.5954139,PDXK,"pyridoxal (pyridoxine, vitamin B6) kinase"
219024_at,3.98e-08,5.42e-09,-6.339151,9.7617471,-0.6614116,PLEKHA1,pleckstrin homology domain containing A1
211621_at,4.01e-08,5.46e-09,-6.337625,9.7546597,-0.3445064,AR,androgen receptor
205959_at,4.01e-08,5.47e-09,6.337554,9.7543322,0.6687795,MMP13,matrix metallopeptidase 13
